StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes,RouteId,RouteVarId
56,QGV 040,Cầu vượt Nguyễn Thái Sơn - Nguyễn Kiệm,Trụ dừng,Quận Gò Vấp,,86 - 86C,Nguyễn Thái Sơn,,Đang khai thác,106.680443,10.816282,CvNTS-NK 86-86C NTS,"03, 07, 103, 148, 55, 59",3,5
57,QGV 042,Ngã ba Phạm Ngũ Lão,Trụ dừng,Quận Gò Vấp,,182,Nguyễn Thái Sơn,,Đang khai thác,106.683147,10.819712,NbPNL 182 NTS,"03, 07, 103, 148, 55, 59",3,5
60,QGV 187 ,Cầu vượt ngã sáu Gò Vấp,Trụ dừng,Quận Gò Vấp,,140-142,Phạm Ngũ Lão ,,Đang khai thác,106.681221,10.824607,CvnsGV 140-142 PNL,"03, 07, 103, 148, 55, 59",3,5
58,QGV 104,Cầu vượt ngã sáu Gò Vấp,Trụ dừng,Quận Gò Vấp,,110-112,Nguyễn Oanh,,Đang khai thác,106.678775,10.828991,CvnsGV 110-112 NO,"03, 59",3,5
62,QGV 106,Ngã tư Phan Văn Trị,Nhà chờ,Quận Gò Vấp,,152,Nguyễn Oanh,,Đang khai thác,106.676699,10.832547,NtPVT 152 NO,"03, 59",3,5
67,QGV 107,Cư xá Lam Sơn,Nhà chờ,Quận Gò Vấp,,214,Nguyễn Oanh,,Đang khai thác,106.67561,10.836114,CxLS 214 NO,"03, 59",3,5
63,QGV 108,Đài Liệt sĩ,Nhà chờ,Quận Gò Vấp,,Đối diện 197 (93),Nguyễn Oanh,,Đang khai thác,106.67583,10.839297,DLs Dd197( NO,"03, 59",3,5
72,QGV 109,Ngã tư An Nhơn,Trụ dừng,Quận Gò Vấp,,388,Nguyễn Oanh,,Đang khai thác,106.676833,10.842268,NtAN 388 NO,"03, 32, 59",3,5
64,QGV 110,Bến Đò,Trụ dừng,Quận Gò Vấp,,538,Nguyễn Oanh,,Đang khai thác,106.678496,10.84691,BD 538 NO,"03, 32, 59",3,5
4754,QGV 111,Cầu An Lộc,Trụ dừng,Quận Gò Vấp,Phường 06,604,Nguyễn Oanh,Có,Đang khai thác,106.678802,10.849117,CAL 604 NO,"03, 32, 59",3,5
73,Q12 032,Nhà hàng Bến Xưa,Trụ dừng,Quận 12,,42,Hà Huy Giáp,,Đang khai thác,106.679285,10.852642,NhBX 42 HHG,"03, 32, 59",3,5
213,Q12 033,Ngã tư Ga,Trụ dừng,Quận 12,,154,Hà Huy Giáp,,Đang khai thác,106.679907,10.857331,NtG 154 HHG,"03, 32, 59",3,5
68,Q12 034,Đình thần Giao Khẩu,Trụ dừng,Quận 12,,332,Hà Huy Giáp,,Đang khai thác,106.680433,10.865217,DtGK 332 HHG,"03, 58",3,5
74,Q12 035,Cây xăng Tài Lộc,Trụ dừng,Quận 12,,408B,Hà Huy Giáp,,Đang khai thác,106.678319,10.86831,CxTL 408B HHG,"03, 58",3,5
69,Q12 036,Vườn kiểng Quang Dũng,Trụ dừng,Quận 12,,452,Hà Huy Giáp,,Đang khai thác,106.676978,10.871371,VkQD 452 HHG,"03, 58",3,5
70,Q12 037,Ga ra Thanh Hậu,Trụ dừng,Quận 12,,508,Hà Huy Giáp,,Đang khai thác,106.677032,10.875454,GrTH 508 HHG,"03, 58",3,5
71,Q12 038,Chợ Thạnh Xuân,Nhà chờ,Quận 12,,Nhà văn hóa P. Thạnh Lộc,Hà Huy Giáp,,Đang khai thác,106.678201,10.878493,CTX NvhPTL HHG,"03, 58",3,5
77,Q12 039,Trường Điện lực 2,Trụ dừng,Quận 12,,554 ,Hà Huy Giáp,,Đang khai thác,106.679188,10.880785,TDl2 554 HHG,"03, 58",3,5
3204,Q12 040,Trường Nguyễn Văn Thệ,Trụ dừng,Quận 12,,628B,Hà Huy Giáp,,Đang khai thác,106.681296,10.884562,TNVT 628B HHG,"03, 58",3,5
3203,Q12 041,Cây xăng Thanh Bình,Trụ dừng,Quận 12,,704,Hà Huy Giáp,,Đang khai thác,106.68305,10.886253,CxTB 704 HHG,"03, 58",3,5
3206,Q12 042,Cầu Ông Dung,Trụ dừng,Quận 12,,1/111,Hà Huy Giáp,,Đang khai thác,106.685185,10.88876,COD 1/111 HHG,"03, 58",3,5
3259,Q12 043,Cầu Phú Long,Trụ dừng,Quận 12,,856,Hà Huy Giáp,,Đang khai thác,106.687031,10.892079,CPL 856 HHG,"03, 58",3,5
3207,Q12T117,Chùa Báo Ấn,Ô sơn,Quận 12,,938,Hà Huy Giáp,,Đang khai thác,106.688619,10.89486,CBA 938 HHG,"03, 58",3,5
3210,Q12 232,Chợ Đường,Ô sơn,Quận 12,,18,Bùi Công Trừng,,Đang khai thác,106.689101,10.897721,CD 18 BCT,"03, 58",3,5
75,BX38,THẠNH LỘC,Bến xe,Quận 12,,"Thửa đất số 413 tờ bản đồ số 04, phường Thạnh Xuân, Quận 12",Thạnh Lộc 52,,Đang khai thác,106.673427,10.89288,"TL Tds413tbds04,pTXQ12 TL52",03,3,5
468,BX43,BÃI HẬU CẦN SỐ 1,Bến xe,Quận Gò Vấp,,BÃI HẬU CẦN SỐ 1,Phan Văn Trị,,Đang khai thác,106.69189453125,10.82361125946045,BHCS1 BHCS1 PVT,"07, 148",7,14
539,QGV 001,Bãi hậu cần số 1,Trụ dừng,Quận Gò Vấp,,Đối diện 439,Phan Văn Trị,,Đang khai thác,106.69195,10.823964,Bhcs1 Dd439 PVT,"07, 148, 36",7,14
540,QGV 048,UBND Phường 5,Trụ dừng,Quận Gò Vấp,,247,Nguyễn Thái Sơn,,Đang khai thác,106.688259,10.825513,UP5 247 NTS,"07, 146, 148",7,14
541,QGV 049,Trường Đại học Công nghiệp,Trụ dừng,Quận Gò Vấp,,145,Nguyễn Thái Sơn,,Đang khai thác,106.685277,10.822779,TDhCn 145 NTS,"07, 148",7,14
543,QGV 050 ,Ngã ba Phạm Ngũ Lão,Trụ dừng,Quận Gò Vấp,,63,Nguyễn Thái Sơn,,Đang khai thác,106.683925,10.821045,NbPNL 63 NTS,"07, 148",7,14
60,QGV 187 ,Cầu vượt ngã sáu Gò Vấp,Trụ dừng,Quận Gò Vấp,,140-142,Phạm Ngũ Lão ,,Đang khai thác,106.681221,10.824607,CvnsGV 140-142 PNL,"03, 07, 103, 148, 55, 59",7,14
219,QGV 121,Cầu vượt ngã sáu Gò Vấp,Trụ dừng,Quận Gò Vấp,,1001,Nguyễn Kiệm,,Đang khai thác,106.678968,10.823738,CvnsGV 1001 NK,"03, 07, 103, 148, 55, 59",7,14
222,QGV 122,Xóm Cháy,Trụ dừng,Quận Gò Vấp,,629B,Nguyễn Kiệm,,Đã hủy,106.678743,10.821894,XC 629B NK,"07, 148, 59",7,14
221,QGV 123,Bệnh Viện 175,Trụ dừng,Quận Gò Vấp,,883-885,Nguyễn Kiệm,,Đang khai thác,106.678727,10.820044,BV175 883-885 NK,"03, 07, 103, 148, 55, 59",7,14
223,QGV 124,Chợ Tân Sơn Nhất,Trụ dừng,Quận Gò Vấp,,79-81,Nguyễn Kiệm,,Đang khai thác,106.678598,10.816772,CTSN 79-81 NK,"03, 07, 103, 148, 55, 59",7,14
224,QPN 034,Đầu công viên Gia Định,Nhà chờ,Quận Phú Nhuận,,Rạp xiếc,Hoàng Minh Giám,,Đang khai thác,106.677681,10.813442,DcvGD Rx HMG,"03, 07, 148, 50, 55, 59",7,14
225,QPN 035,Cuối công viên Gia Định,Nhà chờ,Quận Phú Nhuận,,Đối diện số 5,Hoàng Minh Giám,,Đang khai thác,106.674741,10.809906,CcvGD Dds5 HMG,"03, 07, 148, 50, 55, 59",7,14
226,QPN 053,Đầu Đường Đào Duy Anh,Trụ dừng,Quận Phú Nhuận,,155,Đào Duy Anh,,Đang khai thác,106.674057,10.807978,DDDDA 155 DDA,"03, 07, 55",7,14
228,QPN 054,Cuối Đường Đào Duy Anh,Nhà chờ,Quận Phú Nhuận,,7-9,Đào Duy Anh,,Đang khai thác,106.677177,10.805891,CDDDA 7-9 DDA,"03, 07, 55",7,14
230,QPN 023,Ngã ba Đào Duy Anh,Trụ dừng,Quận Phú Nhuận,,129,Hồ Văn Huê,,Đang khai thác,106.677729,10.804858,NbDDA 129 HVH,"03, 07, 55",7,14
227,QPN 024,Tháp Nước,Trụ dừng,Quận Phú Nhuận,,43B,Hồ Văn Huê,,Đang khai thác,106.676366,10.802434,TN 43B HVH,"03, 07, 55",7,14
229,QPN 025,Trung tâm hội nghị tiệc cưới White Palace,Trụ dừng,Quận Phú Nhuận,,1B,Hồ Văn Huê,,Đang khai thác,106.675025,10.800074,TthntcWP 1B HVH,"03, 07, 55",7,14
545,QPN 026,Nhà thờ Phú Nhuận,Trụ dừng,Quận Phú Nhuận,,223,Trần Huy Liệu,,Đang khai thác,106.677525,10.798646,NtPN 223 THL,07,7,14
549,QPN 027,Công an Quận Phú Nhuận,Trụ dừng,Quận Phú Nhuận,,139,Trần Huy Liệu,,Đang khai thác,106.677702,10.795658,CaQPN 139 THL,07,7,14
550,QPN 028,Ngã tư Nguyễn Văn Trỗi,Trụ dừng,Quận Phú Nhuận,,91 - 93,Trần Huy Liệu,,Đang khai thác,106.677887,10.792667,NtNVT 91-93 THL,07,7,14
552,QPN 029,Bệnh viện An Sinh,Trụ dừng,Quận Phú Nhuận,,25 - 27,Trần Huy Liệu,,Đang khai thác,106.677986,10.791171,BvAS 25-27 THL,07,7,14
554,Q3 094,Lê Văn Sỹ,Trụ dừng,Quận 3,Phường 14,19,Trần Quang Diệu,,Đang khai thác,106.678123,10.788544,LVS 19 TQD,07,7,14
557,Q3 047,Chợ Nguyễn Văn Trỗi,Trụ dừng,Quận 3,Phường 13,217,Lê Văn Sỹ,,Đang khai thác,106.679322,10.786853,CNVT 217 LVS,"07, 28",7,14
559,Q3 035,Trần Quốc Thảo,Nhà chờ,Quận 3,,12,Kỳ Đồng,Có,Đang khai thác,106.682868,10.78456,TQT 12 KD,07,7,14
561,Q3 036,Nhà thờ Dòng chúa Cứu thế,Nhà chờ,Quận 3,,38,Kỳ Đồng,Có,Đang khai thác,106.681061,10.780704,NtDcCt 38 KD,07,7,14
565,Q3 075,Nguyễn Thông,Trụ dừng,Quận 3,,86,Nguyễn Thông,,Đang khai thác,106.679573,10.781328,NT 86 NT,07,7,14
560,Q3 066,Ga Hòa Hưng,Trụ dừng,Quận 3,Phường 09,Đối diện Trụ sở KP3,Nguyễn Phúc Nguyên,,Đang khai thác,106.678383,10.781528,GHH DdTsK NPN,07,7,14
566,Q3 067,Rạch Bùng Binh,Trụ dừng,Quận 3,,Đối diện 186 (167),Nguyễn Phúc Nguyên,,Đang khai thác,106.678888,10.780645,RBB Dd186( NPN,07,7,14
562,Q3 068,Vòng xoay Dân Chủ,Trụ dừng,Quận 3,Phường 10,47 - 49,Nguyễn Phúc Nguyên,,Đang khai thác,106.681038,10.778592,VxDC 47-49 NPN,07,7,14
568,Q10 001,Siêu thị Maximark,Trụ dừng,Quận 10,,54,Đường 3/2,,Đang khai thác,106.680771,10.777162,StM 54 D3/2,"07, 10, 91",7,14
563,Q10 002,Bệnh viện Bình Dân,Trụ dừng,Quận 10,,172,Đường 3/2,,Đang khai thác,106.678947,10.774785,BvBD 172 D3/2,"07, 91",7,14
95,Q10 003,Học viện Hành chính Quốc gia,Nhà chờ,Quận 10,,10,Đường 3/2,,Đang khai thác,106.676951,10.773457,HvHcQg 10 D3/2,"07, 10, 91",7,14
94,Q10 004,Học viện Hành chính Quốc gia,Nhà chờ,Quận 10,,Kế 10A,Đường 3/2,,Đang khai thác,106.675701,10.772661,HvHcQg K10A D3/2,"07, 91",7,14
97,Q10 005,Nhà hát Hòa Bình,Nhà chờ,Quận 10,,240,Đường 3/2,,Đang khai thác,106.674202,10.771712,NhHB 240 D3/2,"07, 91",7,14
96,Q10 006,Nhà thờ Vinh Sơn,Trụ dừng,Quận 10,,270,Đường 3/2,,Đang khai thác,106.67215,10.770521,NtVS 270 D3/2,07,7,14
99,Q10 007,Bệnh viện Nhi Đồng 1,Trụ dừng,Quận 10,,356,Đường 3/2,,Đang khai thác,106.670364,10.769578,BvND1 356 D3/2,07,7,14
564,Q10 075,Học viện Quân y,Trụ dừng,Quận 10,,527,Nguyễn Tri Phương,,Đang khai thác,106.667259,10.766769,HvQy 527 NTP,"07, 59",7,14
567,Q10 076,Chợ Nhật Tảo,Trụ dừng,Quận 10,,475,Nguyễn Tri Phương,,Đang khai thác,106.667664,10.764991,CNT 475 NTP,"07, 59",7,14
570,Q10 077,Trường Hoàng Văn Thụ,Trụ dừng,Quận 10,,399,Nguyễn Tri Phương,,Đang khai thác,106.668015,10.763371,THVT 399 NTP,"07, 59",7,14
571,Q10 078,Đại học kinh tế,Trụ dừng,Quận 10,,279,Nguyễn Tri Phương,,Đang khai thác,106.668488,10.761049,Dhkt 279 NTP,"07, 10, 59",7,14
569,Q5 036,Ngô Gia Tự,Nhà chờ,Quận 5,,500,Ngô Gia Tự,,Đang khai thác,106.668062,10.758801,NGT 500 NGT,"07, 150",7,14
573,Q5 035,Trung tâm giáo dục thường xuyên,Nhà chờ,Quận 5,,546,Ngô Gia Tự,,Đang khai thác,106.667016,10.757331,Ttgdtx 546 NGT,"07, 150",7,14
433,Q5 017,Bệnh viện Phạm Ngọc Thạch,Nhà chờ,Quận 5,,120,Hồng Bàng,,Đang khai thác,106.664511,10.755897,BvPNT 120 HB,"06, 07, 139, 150, 56, 68, 70-3, 91",7,14
434,Q5 018,Hùng Vương Plaza,Nhà chờ,Quận 5,,132,Hồng Bàng,,Đang khai thác,106.661072,10.755196,HVP 132 HB,"06, 07, 08, 10, 139, 150, 56, 62, 68, 91",7,14
436,Q5 019,Bệnh viện Chợ Rẫy,Trụ dừng,Quận 5,,172,Hồng Bàng,,Đang khai thác,106.659501,10.754875,BvCR 172 HB,"06, 07, 08, 139, 150, 56, 62, 68, 91",7,14
397,Q5 013,Rạp Đại Quang,Nhà chờ,Quận 5,,81,Châu Văn Liêm,,Đang khai thác,106.658792,10.752445,RDQ 81 CVL,"05, 07, 08, 45, 56, 62",7,14
137,Q5 014,Bưu điện Quận 5,Ô sơn,Quận 5,,13-15,Châu Văn Liêm,,Đang khai thác,106.658894,10.751381,BdQ5 13-15 CVL,"01, 05, 07, 08, 45, 56, 62",7,14
138,Q5 015,Hải Thượng Lãn Ông,Trụ dừng,Quận 5,,210-212,Hải Thượng Lãn Ông,,Đang khai thác,106.658358,10.750948,HTLO 210-212 HTLO,"01, 05, 07, 25, 39, 47, 56",7,14
139,Q5 102,Chợ Kim Biên,Trụ dừng,Quận 5,,5,Trang Tử,,Đang khai thác,106.655086,10.751128,CKB 5 TT,"01, 05, 07, 25, 39, 47, 56",7,14
8,BX14,Bến xe Chợ Lớn,Bến xe,Quận 5,,GA HKXB CHO LON,Lê Quang Sung,,Đang khai thác,106.6525650024414,10.751253128051758,BxCL GHCL LQS,"01, 05, 06, 07, 09, 150, 23, 47, 56, 62-1, 62-10, 62-7, 62-8, 81, 94",7,14
33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,,Công trường Mê Linh,Thi Sách,,Đang khai thác,106.705856,10.77679,CTML CtML TS,01,1,1
79,Q1 031,Bến Bạch Đằng,Trụ dừng,Quận 1,,21,Tôn Đức Thắng,,Đang khai thác,106.706359,10.773299,BBD 21 TDT,"01, 03, 120, 19, 45, 53, 56, 61-6, 88, D1, DL01",1,1
76,Q1 020,Cục Hải Quan Thành Phố,Nhà chờ,Quận 1,Phường Bến Nghé,2-4,Hàm Nghi,,Đang khai thác,106.705549,10.770885,CHQTP 2-4 HN,"01, 03, 123, 124, 19, 45, 56, 61-6, 88, D1",1,1
3691,Q1 193,Chợ Cũ,Nhà chờ,Quận 1,Phường Bến Nghé,84,Hàm Nghi,,Đang khai thác,106.703108,10.771006,CC 84 HN,"01, 03, 19, 45, 56, 86, 88",1,1
2028,Q1 194,Trường Cao Thắng,Nhà chờ,Quận 1,Phường Bến Nghé,Trường Cao Thắng,Hàm Nghi,,Đang khai thác,106.701853,10.771043,TCT TCT HN,"01, 03, 102, 19, 20, 34, 38, 39, 45, 56, 75, 86, 88",1,1
4223,Q1 102,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Bến Thành,Hàm Nghi 4,Hàm Nghi,,Đang khai thác,106.699471,10.771075,TTctdHN HN4 HN,"01, 102, 44, 65, 86",1,1
7564,Q1 196,Bảo tàng Mỹ Thuật,Trụ dừng,Quận 1,Phường Bến Nghé,56,Nguyễn Thái Bình,Có,Đang khai thác,106.699669,10.769251,BtMT 56 NTB,"01, 102, 34, 38, 39, 44, 86",1,1
120,Q1 124,Trường Ernst Thalmann,Nhà chờ,Quận 1,,8,Trần Hưng Đạo,,Đang khai thác,106.695923,10.768772,TET 8 THD,"01, 139, 28, 45, 69",1,1
121,Q1 125,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,,10,Trần Hưng Đạo,,Đang khai thác,106.694695,10.767363,KTHD 10 THD,"01, 139, 152, 45, 56",1,1
122,Q1 126,Rạp Hưng Đạo,Nhà chờ,Quận 1,,112,Trần Hưng Đạo,,Đang khai thác,106.693375,10.765832,RHD 112 THD,"01, 139, 152, 45, 56",1,1
123,Q1 127,Bệnh viện Răng Hàm Mặt,Nhà chờ,Quận 1,,150,Trần Hưng Đạo,,Đang khai thác,106.691696,10.763918,BvRHM 150 THD,"01, 139, 152",1,1
124,Q1 128,Trần Đình Xu,Trụ dừng,Quận 1,,210 - 212,Trần Hưng Đạo,,Đang khai thác,106.690247,10.762262,TDX 210-212 THD,"01, 139, 152",1,1
125,Q1 129,Tổng Cty Samco,Nhà chờ,Quận 1,,262,Trần Hưng Đạo,,Đang khai thác,106.687798,10.759409,TCS 262 THD,"01, 139, 152",1,1
126,Q1 130,Chợ Nanci,Trụ dừng,Quận 1,,290,Trần Hưng Đạo,,Đang khai thác,106.686035,10.757467,CN 290 THD,"01, 139, 152",1,1
127,Q5 083,Nguyễn Biểu,Trụ dừng,Quận 5,,454,Trần Hưng Đạo,,Đang khai thác,106.68283,10.755887,NB 454 THD,01,1,1
128,Q5 084,Trường Cao đẳng Kinh tế Đối ngoại,Nhà chờ,Quận 5,,520,Trần Hưng Đạo,,Đang khai thác,106.681833,10.755623,TCdKtDn 520 THD,01,1,1
129,Q5 085,Trần Bình Trọng,Trụ dừng,Quận 5,,560(564),Trần Hưng Đạo,,Đang khai thác,106.679794,10.755064,TBT 560(564) THD,01,1,1
130,Q5 086,Bệnh viện Chấn thương Chỉnh hình,Nhà chờ,Quận 5,,696,Trần Hưng Đạo,,Đang khai thác,106.677847,10.754537,BvCtCh 696 THD,01,1,1
131,Q5 087,Rạp Đồng Tháp,Trụ dừng,Quận 5,,780,Trần Hưng Đạo,,Đang khai thác,106.675825,10.753984,RDT 780 THD,01,1,1
134,Q5 088,Rạp Đống Đa,Trụ dừng,Quận 5,,882,Trần Hưng Đạo,,Đang khai thác,106.674237,10.753573,RDD 882 THD,01,1,1
132,Q5 089,Đồng Khánh,Trụ dừng,Quận 5,,18,Trần Hưng Đạo,,Đang khai thác,106.67149,10.752983,DK 18 THD,01,1,1
14,Q5 099,Nhà Văn hóa Quận 5,Trụ dừng,Quận 5,,388,Trần Phú,,Đang khai thác,106.668588,10.753025,NVhQ5 388 TP,"01, 59",1,1
136,Q5 090,Ngô Quyền,Biển treo,Quận 5,,212,Trần Hưng Đạo,,Đang khai thác,106.666174,10.752477,NQ 212 THD,01,1,1
133,Q5 091,Tản Đà,Trụ dừng,Quận 5,,274,Trần Hưng Đạo,,Đang khai thác,106.663706,10.752292,TD 274 THD,01,1,1
135,Q5 092,Triệu Quang Phục,Trụ dừng,Quận 5,Phường 11,390,Trần Hưng Đạo,,Đang khai thác,106.660536,10.75206,TQP 390 THD,01,1,1
137,Q5 014,Bưu điện Quận 5,Ô sơn,Quận 5,,13-15,Châu Văn Liêm,,Đang khai thác,106.658894,10.751381,BdQ5 13-15 CVL,"01, 05, 07, 08, 45, 56, 62",1,1
138,Q5 015,Hải Thượng Lãn Ông,Trụ dừng,Quận 5,,210-212,Hải Thượng Lãn Ông,,Đang khai thác,106.658358,10.750948,HTLO 210-212 HTLO,"01, 05, 07, 25, 39, 47, 56",1,1
139,Q5 102,Chợ Kim Biên,Trụ dừng,Quận 5,,5,Trang Tử,,Đang khai thác,106.655086,10.751128,CKB 5 TT,"01, 05, 07, 25, 39, 47, 56",1,1
8,BX14,Bến xe Chợ Lớn,Bến xe,Quận 5,,GA HKXB CHO LON,Lê Quang Sung,,Đang khai thác,106.6525650024414,10.751253128051758,BxCL GHCL LQS,"01, 05, 06, 07, 09, 150, 23, 47, 56, 62-1, 62-10, 62-7, 62-8, 81, 94",1,1
75,BX38,THẠNH LỘC,Bến xe,Quận 12,,"Thửa đất số 413 tờ bản đồ số 04, phường Thạnh Xuân, Quận 12",Thạnh Lộc 52,,Đang khai thác,106.673427,10.89288,"TL Tds413tbds04,pTXQ12 TL52",03,3,6
